"comuna" "anio" "homicidios" "hurtos" "robo_lugar" "robo_sorpresa" "robo_vehiculo" "robo_violencia" "violacion"
"1" "Arica" 2001 1.6 370.3 NA 9.5 NA 107.2 16.4
"2" "Arica" 2002 1.1 346.7 NA 34 NA 122.8 14.9
"3" "Arica" 2003 1.6 460.1 464.4 52.8 172.2 196.2 15.5
"4" "Arica" 2004 1.1 452.2 395 64.1 203.7 143.8 13.9
"5" "Arica" 2005 0 421.8 287.8 58.4 144.2 144.7 7.5
"6" "Arica" 2006 1.1 507.5 320.3 60.9 89 161.2 8.6
"7" "Arica" 2007 0.5 514.4 254 68.4 86.8 186.1 13.6
"8" "Arica" 2008 0.5 598 248.5 104.3 152.4 184 17.5
"9" "Arica" 2009 1.1 631 263.3 120.4 200.1 247.3 13.7
"10" "Arica" 2010 0.6 741.9 313.1 144.9 208 221.8 13.3
"11" "Arica" 2011 2.2 917.9 392.7 140.8 180.4 245.8 16.2
"12" "Arica" 2012 2.3 976.7 389.9 157.4 203.7 236.4 23.1
"13" "Arica" 2013 0.6 1097.7 313.5 251.4 176.7 231.4 24.5
"14" "Arica" 2014 0 969.6 290.2 232.6 189.4 235.5 23
"15" "Arica" 2015 5.8 794.6 264.7 208.2 258.8 242.6 22.7
"16" "Arica" 2016 1.8 715.9 284 228.6 331.1 287.5 27.1
"17" "Camarones" 2001 0 0 NA 0 NA 0 0
"18" "Camarones" 2002 0 0 NA 0 NA 75.9 0
"19" "Camarones" 2003 0 517 1181.7 0 221.6 443.1 73.9
"20" "Camarones" 2004 0 72.2 0 0 144.4 0 0
"21" "Camarones" 2005 0 0 70.4 0 0 0 0
"22" "Camarones" 2006 0 68 0 0 0 0 0
"23" "Camarones" 2007 0 0 0 0 0 0 0
"24" "Camarones" 2008 0 64.4 0 0 64.4 0 0
"25" "Camarones" 2009 0 188.4 62.8 0 0 0 62.8
"26" "Camarones" 2010 0 366.5 305.4 0 0 0 0
"27" "Camarones" 2011 0 1067.6 296.6 59.3 59.3 0 0
"28" "Camarones" 2012 0 984.9 347.6 57.9 0 0 0
"29" "Camarones" 2013 0 225.9 564.7 0 0 0 0
"30" "Camarones" 2014 0 936.6 55.1 0 0 0 0
"31" "Camarones" 2015 0 592.7 53.9 0 0 53.9 0
"32" "Camarones" 2016 0 367.8 210.2 0 0 0 52.5
"33" "Putre" 2001 0 105.2 NA 0 NA 0 0
"34" "Putre" 2002 0 599.8 NA 0 NA 0 0
"35" "Putre" 2003 0 170.3 56.8 0 0 56.8 0
"36" "Putre" 2004 0 414.2 118.3 0 0 0 118.3
"37" "Putre" 2005 0 185.8 309.6 0 0 0 0
"38" "Putre" 2006 0 834.9 256.9 0 0 0 64.2
"39" "Putre" 2007 0 534 467.3 0 0 66.8 0
"40" "Putre" 2008 0 694.4 486.1 0 0 0 69.4
"41" "Putre" 2009 0 362.1 144.8 0 72.4 72.4 72.4
"42" "Putre" 2010 0 1059.8 151.4 0 0 0 0
"43" "Putre" 2011 0 708.1 157.4 0 0 0 0
"44" "Putre" 2012 0 1310.4 409.5 0 0 0 81.9
"45" "Putre" 2013 85.3 1023.9 341.3 0 0 0 85.3
"46" "Putre" 2014 0 1421 266.4 0 0 0 0
"47" "Putre" 2015 0 1481.5 92.6 0 0 92.6 92.6
"48" "Putre" 2016 0 1363.2 194.7 0 97.4 0 0
"49" "General Lagos" 2001 0 0 NA 0 NA 0 0
"50" "General Lagos" 2002 0 0 NA 0 NA 0 0
"51" "General Lagos" 2003 0 0 0 0 0 0 0
"52" "General Lagos" 2004 0 163.8 163.8 0 0 163.8 0
"53" "General Lagos" 2005 0 81 81 0 0 0 0
"54" "General Lagos" 2006 0 81.2 81.2 0 0 0 0
"55" "General Lagos" 2007 0 81 0 0 0 0 0
"56" "General Lagos" 2008 0 81 161.9 0 0 0 0
"57" "General Lagos" 2009 0 161 241.5 0 80.5 0 80.5
"58" "General Lagos" 2010 0 160.6 80.3 0 0 0 0
"59" "General Lagos" 2011 0 244.3 81.4 0 0 0 0
"60" "General Lagos" 2012 0 0 0 0 0 0 0
"61" "General Lagos" 2013 0 163.9 163.9 0 0 0 82
"62" "General Lagos" 2014 0 164.3 164.3 0 0 82.2 0
"63" "General Lagos" 2015 0 82.4 329.8 0 0 0 0
"64" "General Lagos" 2016 0 333.6 83.4 0 0 0 83.4
"65" "Iquique" 2001 0.9 301 NA 4.4 NA 142.6 12.3
"66" "Iquique" 2002 0.9 423.6 NA 65.3 NA 140.1 9.9
"67" "Iquique" 2003 1.7 552.1 760.7 130.6 226.7 259.9 7.1
"68" "Iquique" 2004 1.2 629.2 702.6 185.1 314.4 295.5 25
"69" "Iquique" 2005 1.7 800.2 747 249.4 206.1 347.4 19.4
"70" "Iquique" 2006 0.6 680.3 327.2 211.5 169.7 287 18.2
"71" "Iquique" 2007 2.7 836.6 351.5 276 162.6 397 18.1
"72" "Iquique" 2008 2.2 752.2 295 252.5 240 508.4 14.2
"73" "Iquique" 2009 1.1 832.6 296.5 423.6 371.1 485.8 8.1
"74" "Iquique" 2010 2.2 780.4 435.7 530.9 453.4 415.2 10.2
"75" "Iquique" 2011 1.6 1043.8 593.7 586.1 468.9 502.3 14
"76" "Iquique" 2012 1.6 873.1 524.7 379.6 289.3 344.6 11.8
"77" "Iquique" 2013 2.7 827.3 394 496.7 333.3 402.6 9.7
"78" "Iquique" 2014 1.6 862.6 375.7 473.5 363.8 503.6 10.2
"79" "Iquique" 2015 2.7 939.2 345 527.1 404.1 542.1 13.4
"80" "Iquique" 2016 3.2 992.6 309.6 611.1 436.6 527.4 13
"81" "Alto Hospicio" 2001 NA NA NA NA NA NA NA
"82" "Alto Hospicio" 2002 NA NA NA NA NA NA NA
"83" "Alto Hospicio" 2003 NA NA NA NA NA NA NA
"84" "Alto Hospicio" 2004 NA NA NA NA NA NA NA
"85" "Alto Hospicio" 2005 1.5 284 0 56.8 0 96.1 7.3
"86" "Alto Hospicio" 2006 1.4 346.4 750.4 67.3 83.8 193.8 9.6
"87" "Alto Hospicio" 2007 2.6 430.7 736.5 66.4 114.5 195.2 15.6
"88" "Alto Hospicio" 2008 0 436.1 751.1 93.9 122.3 240.9 18.5
"89" "Alto Hospicio" 2009 2.4 438.6 921.9 123.5 225.8 289.3 21.2
"90" "Alto Hospicio" 2010 3.4 491.3 1187.9 154.8 228.8 327.5 20.2
"91" "Alto Hospicio" 2011 2.1 539.2 1027.2 200.3 209.9 509.4 25.6
"92" "Alto Hospicio" 2012 2 498.2 1175.1 133.9 189.8 365.3 19.3
"93" "Alto Hospicio" 2013 1.9 533.7 756.5 126.9 186 364.2 20.3
"94" "Alto Hospicio" 2014 3.7 390 451.2 174.2 218.7 348.4 19.5
"95" "Alto Hospicio" 2015 3.6 380 461.7 198 306.3 314.3 15.1
"96" "Alto Hospicio" 2016 0 391.4 431.3 165.6 363.4 272.5 15.3
"97" "Camiña" 2001 0 0 NA 0 NA 155.3 0
"98" "Camiña" 2002 0 239 NA 0 NA 0 79.7
"99" "Camiña" 2003 0 0 0 0 0 0 81.6
"100" "Camiña" 2004 0 166.8 83.4 0 0 0 83.4
"101" "Camiña" 2005 0 85.7 0 0 0 0 0
"102" "Camiña" 2006 0 87.8 0 0 0 0 0
"103" "Camiña" 2007 0 270.5 0 0 90.2 0 0
"104" "Camiña" 2008 0 92.7 92.7 0 0 0 0
"105" "Camiña" 2009 0 664.8 0 0 0 95 0
"106" "Camiña" 2010 0 779 0 0 0 0 0
"107" "Camiña" 2011 0 303 202 0 101 0 0
"108" "Camiña" 2012 0 104.3 0 0 0 0 0
"109" "Camiña" 2013 0 323.3 107.8 0 0 107.8 0
"110" "Camiña" 2014 0 330.8 220.5 0 0 0 0
"111" "Camiña" 2015 0 229.1 0 0 114.5 0 114.5
"112" "Camiña" 2016 0 117.8 117.8 0 0 0 0
"113" "Colchane" 2001 0 119.8 NA 0 NA 0 0
"114" "Colchane" 2002 0 0 NA 0 NA 0 59.7
"115" "Colchane" 2003 0 0 60 0 0 0 0
"116" "Colchane" 2004 60.1 60.1 60.1 0 120.2 120.2 0
"117" "Colchane" 2005 0 180.6 60.2 0 180.6 0 0
"118" "Colchane" 2006 0 0 0 0 0 0 0
"119" "Colchane" 2007 0 303.2 181.9 0 0 0 0
"120" "Colchane" 2008 0 182.4 243.2 0 182.4 0 0
"121" "Colchane" 2009 0 182.1 182.1 0 121.4 182.1 0
"122" "Colchane" 2010 0 304.9 243.9 0 61 0 0
"123" "Colchane" 2011 0 490.8 184 0 674.8 184 0
"124" "Colchane" 2012 0 433.2 123.8 0 309.4 61.9 0
"125" "Colchane" 2013 0 248.3 0 0 124.1 62.1 62.1
"126" "Colchane" 2014 0 249.4 0 0 187 124.7 0
"127" "Colchane" 2015 0 188.3 0 0 125.5 62.8 62.8
"128" "Colchane" 2016 0 63.2 442.5 63.2 252.8 0 0
"129" "Huara" 2001 0 184.6 NA 0 NA 36.9 0
"130" "Huara" 2002 0 216.5 NA 36.1 NA 0 0
"131" "Huara" 2003 0 105.8 105.8 35.3 0 0 35.3
"132" "Huara" 2004 0 138 103.5 0 69 34.5 0
"133" "Huara" 2005 0 270.3 337.8 0 101.4 67.6 33.8
"134" "Huara" 2006 0 462.7 462.7 33 99.1 66.1 0
"135" "Huara" 2007 0 581.6 226.2 32.3 0 32.3 0
"136" "Huara" 2008 0 664.6 348.1 0 31.6 63.3 0
"137" "Huara" 2009 30.9 711.6 371.3 0 92.8 92.8 92.8
"138" "Huara" 2010 0 759.4 637.9 0 91.1 0 30.4
"139" "Huara" 2011 0 623.1 267.1 29.7 89 29.7 59.3
"140" "Huara" 2012 0 988.1 261.6 0 116.2 0 58.1
"141" "Huara" 2013 0 626.8 114 28.5 28.5 0 0
"142" "Huara" 2014 0 615.7 84 0 56 56 0
"143" "Huara" 2015 0 575.5 219.2 0 109.6 27.4 27.4
"144" "Huara" 2016 0 673.9 215.6 0 80.9 53.9 27
"145" "Pica" 2001 0 310.2 NA 0 NA 0 0
"146" "Pica" 2002 0 265.8 NA 0 NA 25.3 0
"147" "Pica" 2003 0 378.5 195 0 11.5 22.9 11.5
"148" "Pica" 2004 0 336 178.5 0 10.5 42 0
"149" "Pica" 2005 0 232.2 145.2 0 58.1 29 0
"150" "Pica" 2006 0 197.9 68.8 0 25.8 0 8.6
"151" "Pica" 2007 0 232.4 85.2 0 7.7 15.5 0
"152" "Pica" 2008 0 183.1 77.5 0 7 14.1 7
"153" "Pica" 2009 0 303.5 142 6.5 32.3 32.3 12.9
"154" "Pica" 2010 0 262.2 149 6 47.7 23.8 0
"155" "Pica" 2011 0 209.6 161.3 5.4 32.3 10.8 0
"156" "Pica" 2012 0 166.4 137 4.9 29.4 19.6 0
"157" "Pica" 2013 0 202.2 116.8 0 18 27 9
"158" "Pica" 2014 0 124.6 41.5 0 0 4.2 0
"159" "Pica" 2015 0 108.1 46.3 0 19.3 11.6 0
"160" "Pica" 2016 0 60.3 17.7 7.1 10.6 0 7.1
"161" "Pozo Almonte" 2001 0 377.1 NA 8.6 NA 60 17.1
"162" "Pozo Almonte" 2002 0 336.4 NA 32.8 NA 32.8 8.2
"163" "Pozo Almonte" 2003 0 479.8 550.6 0 23.6 39.3 15.7
"164" "Pozo Almonte" 2004 0 626.6 400.1 7.5 37.7 90.6 7.5
"165" "Pozo Almonte" 2005 0 726.2 660.8 50.8 79.9 108.9 43.6
"166" "Pozo Almonte" 2006 0 703 529 27.8 34.8 27.8 7
"167" "Pozo Almonte" 2007 0 769.2 548.5 53.5 46.8 53.5 6.7
"168" "Pozo Almonte" 2008 0 733.7 495.6 45.1 38.6 103 38.6
"169" "Pozo Almonte" 2009 0 756.5 868.2 12.4 130.2 105.4 18.6
"170" "Pozo Almonte" 2010 0 657.7 908.9 41.9 155.5 65.8 12
"171" "Pozo Almonte" 2011 0 761.8 813.8 28.9 80.8 92.3 23.1
"172" "Pozo Almonte" 2012 0 702.5 446.1 22.3 72.5 78.1 5.6
"173" "Pozo Almonte" 2013 0 674.2 329 27 16.2 48.5 10.8
"174" "Pozo Almonte" 2014 0 747.3 256.1 20.9 36.6 10.5 10.5
"175" "Pozo Almonte" 2015 0 663.6 319.1 20.3 86.1 70.9 10.1
"176" "Pozo Almonte" 2016 0 575.9 379 44.3 128 68.9 4.9
"177" "Antofagasta" 2001 3.5 300.4 NA 16.1 NA 101.6 3.5
"178" "Antofagasta" 2002 1.6 361.9 NA 57.5 NA 167.5 3.2
"179" "Antofagasta" 2003 1.9 491.6 476.4 95.7 44.6 200.1 5.3
"180" "Antofagasta" 2004 0.3 399.7 424.6 70.5 32.8 167.7 7
"181" "Antofagasta" 2005 1.5 420.6 193.6 56.9 25.6 100.7 8.6
"182" "Antofagasta" 2006 0 351.2 164.6 56.7 19.9 83.3 7
"183" "Antofagasta" 2007 0.9 392.3 267.1 87.9 39.9 137 9.2
"184" "Antofagasta" 2008 1.4 532.1 406 143.3 217.8 201.4 16.6
"185" "Antofagasta" 2009 3 614.3 443 147.8 409.4 320.7 11.9
"186" "Antofagasta" 2010 3.3 707 519 179.8 516.3 346.3 12.5
"187" "Antofagasta" 2011 1.1 802.5 584.8 198.9 376.2 377.5 13.9
"188" "Antofagasta" 2012 0.8 692.5 411.7 169.2 362.9 351.8 12.9
"189" "Antofagasta" 2013 0.5 710.1 339.6 211 264.2 315.2 9.6
"190" "Antofagasta" 2014 1 757.1 319.6 262.5 317.8 304.5 8.7
"191" "Antofagasta" 2015 2.3 694.3 269.1 210.2 277.7 279.2 11.6
"192" "Antofagasta" 2016 2.5 572.8 231.2 138.5 226.2 246.1 11.2
"193" "Mejillones" 2001 0 373.3 NA 0 NA 22.6 22.6
"194" "Mejillones" 2002 0 331.7 NA 55.3 NA 66.3 0
"195" "Mejillones" 2003 10.8 475.4 561.9 0 10.8 97.2 0
"196" "Mejillones" 2004 0 433.1 507.1 10.6 10.6 31.7 0
"197" "Mejillones" 2005 10.3 423.9 279.1 0 10.3 20.7 10.3
"198" "Mejillones" 2006 0 373.3 494.4 0 10.1 20.2 0
"199" "Mejillones" 2007 0 266.2 305.7 9.9 39.4 59.2 19.7
"200" "Mejillones" 2008 0 481.8 414.4 28.9 19.3 38.5 9.6
"201" "Mejillones" 2009 0 744.9 782.6 18.9 94.3 122.6 18.9
"202" "Mejillones" 2010 0 1236.3 821.1 64.6 138.4 184.5 9.2
"203" "Mejillones" 2011 0 1423.9 1117.5 90.1 36 288.4 0
"204" "Mejillones" 2012 0 925.8 872.9 158.7 70.5 132.3 17.6
"205" "Mejillones" 2013 8.6 1035.1 474.4 60.4 86.3 232.9 0
"206" "Mejillones" 2014 0 988.2 565.9 92.9 109.8 177.4 0
"207" "Mejillones" 2015 0 769.4 306.1 82.7 198.5 198.5 0
"208" "Mejillones" 2016 8.1 859.2 405.3 97.3 178.3 259.4 32.4
"209" "Sierra Gorda" 2001 0 516.1 NA 0 NA 79.4 0
"210" "Sierra Gorda" 2002 0 152.3 NA 0 NA 38.1 0
"211" "Sierra Gorda" 2003 0 327.6 254.8 0 0 72.8 36.4
"212" "Sierra Gorda" 2004 0 244.9 209.9 35 105 35 0
"213" "Sierra Gorda" 2005 0 33.8 101.4 0 0 0 0
"214" "Sierra Gorda" 2006 0 291.5 226.8 32.4 32.4 162 32.4
"215" "Sierra Gorda" 2007 0 403.7 124.2 0 0 62.1 0
"216" "Sierra Gorda" 2008 0 686.6 268.7 29.9 59.7 29.9 0
"217" "Sierra Gorda" 2009 0 921.1 374.2 28.8 86.4 57.6 0
"218" "Sierra Gorda" 2010 0 944.4 305.6 27.8 111.1 0 0
"219" "Sierra Gorda" 2011 0 802.6 107 0 26.8 26.8 0
"220" "Sierra Gorda" 2012 0 1881.9 180.5 0 386.7 25.8 0
"221" "Sierra Gorda" 2013 0 1370.5 398.7 0 174.4 24.9 0
"222" "Sierra Gorda" 2014 0 914.1 192.4 48.1 384.9 24.1 0
"223" "Sierra Gorda" 2015 0 1234.6 256.2 23.3 396 46.6 46.6
"224" "Sierra Gorda" 2016 0 1013.3 382.8 45 225.2 67.6 0
"225" "Taltal" 2001 8.9 495.8 NA 8.9 NA 88.5 8.9
"226" "Taltal" 2002 0 595.9 NA 17.8 NA 88.9 17.8
"227" "Taltal" 2003 0 706.3 420.2 17.9 17.9 80.5 17.9
"228" "Taltal" 2004 0 601.6 395.1 26.9 62.9 98.8 26.9
"229" "Taltal" 2005 0 541.5 216.6 0 0 45.1 9
"230" "Taltal" 2006 0 472.3 426.9 27.2 0 54.5 9.1
"231" "Taltal" 2007 0 594.6 494 0 18.3 109.8 9.1
"232" "Taltal" 2008 9.2 792.3 433 27.6 18.4 27.6 9.2
"233" "Taltal" 2009 0 825.7 278.3 27.8 27.8 46.4 18.6
"234" "Taltal" 2010 9.3 504.6 252.3 0 28 37.4 0
"235" "Taltal" 2011 0 593.8 320.5 9.4 66 75.4 9.4
"236" "Taltal" 2012 9.5 808.7 475.7 28.5 57.1 76.1 28.5
"237" "Taltal" 2013 0 652.7 451.1 9.6 9.6 96 19.2
"238" "Taltal" 2014 9.7 561.9 310 29.1 19.4 48.4 9.7
"239" "Taltal" 2015 0 889.7 547.5 19.6 68.4 127.1 19.6
"240" "Taltal" 2016 0 770.5 612.5 29.6 29.6 177.8 0
"241" "Calama" 2001 2.1 303.4 NA 12.6 NA 75.5 9.8
"242" "Calama" 2002 2.8 422.7 NA 27.8 NA 105.7 9.7
"243" "Calama" 2003 4.1 713 646.6 164.6 111.3 302.2 13.8
"244" "Calama" 2004 4.1 493.2 540.6 154.8 158.2 235.9 14.4
"245" "Calama" 2005 0.7 575.4 444.7 113.6 205.9 240.8 15.7
"246" "Calama" 2006 1.4 519.7 384.6 128.2 152.1 211.4 13.6
"247" "Calama" 2007 0 414 408.5 91.1 201.2 220.9 11.6
"248" "Calama" 2008 1.4 539.3 484.4 186.3 206 371.3 14.2
"249" "Calama" 2009 3.4 722.6 512.6 137.1 363.3 305.9 18.2
"250" "Calama" 2010 1.3 749.2 521 171.7 321.8 290.1 16.2
"251" "Calama" 2011 1.3 712.4 681.5 180.8 352.2 303.8 20.8
"252" "Calama" 2012 4 814.7 652.3 121.5 474.4 277.8 13.4
"253" "Calama" 2013 2 832.9 684.9 183.6 473.1 299.5 20.8
"254" "Calama" 2014 2 966.2 572.8 220.1 476.4 436.9 18.1
"255" "Calama" 2015 3.3 940 571.2 273.9 515.8 417.6 19.4
"256" "Calama" 2016 4.7 731.3 598.3 276.1 450.5 378.4 16
"257" "Ollagüe" 2001 0 0 NA 0 NA 0 0
"258" "Ollagüe" 2002 0 651.5 NA 325.7 NA 0 0
"259" "Ollagüe" 2003 0 332.2 664.5 0 0 0 0
"260" "Ollagüe" 2004 0 689.7 0 0 0 0 0
"261" "Ollagüe" 2005 0 366.3 0 0 0 0 0
"262" "Ollagüe" 2006 0 0 0 0 0 0 0
"263" "Ollagüe" 2007 0 362.3 0 0 0 0 0
"264" "Ollagüe" 2008 0 1094.9 0 0 0 0 0
"265" "Ollagüe" 2009 0 398.4 0 0 0 0 0
"266" "Ollagüe" 2010 0 0 0 0 0 401.6 0
"267" "Ollagüe" 2011 0 823 0 0 0 411.5 0
"268" "Ollagüe" 2012 0 0 0 0 406.5 0 0
"269" "Ollagüe" 2013 0 819.7 0 0 0 0 0
"270" "Ollagüe" 2014 0 1265.8 0 0 0 0 0
"271" "Ollagüe" 2015 0 0 431 0 0 0 0
"272" "Ollagüe" 2016 0 436.7 873.4 0 0 0 0
"273" "San Pedro de Atacama" 2001 0 315.3 NA 0 NA 0 0
"274" "San Pedro de Atacama" 2002 0 0 NA 0 NA 0 0
"275" "San Pedro de Atacama" 2003 0 83.1 0 0 0 99.7 0
"276" "San Pedro de Atacama" 2004 0 897.9 204.8 47.3 47.3 15.8 0
"277" "San Pedro de Atacama" 2005 0 1561.3 600.5 90.1 30 75.1 15
"278" "San Pedro de Atacama" 2006 0 1424.9 296.3 42.3 28.2 56.4 0
"279" "San Pedro de Atacama" 2007 0 1331.2 439.3 26.6 26.6 133.1 0
"280" "San Pedro de Atacama" 2008 0 1436.7 327.7 0 100.8 176.4 0
"281" "San Pedro de Atacama" 2009 0 1541.8 358.6 12 83.7 143.4 12
"282" "San Pedro de Atacama" 2010 0 1706.3 250.3 34.1 68.3 193.4 22.8
"283" "San Pedro de Atacama" 2011 0 1368.7 366.4 21.6 64.7 107.8 0
"284" "San Pedro de Atacama" 2012 0 1053.4 102.3 0 40.9 30.7 0
"285" "San Pedro de Atacama" 2013 0 1247 146.1 9.7 48.7 58.5 9.7
"286" "San Pedro de Atacama" 2014 0 1309.3 213.6 9.3 65 83.6 27.9
"287" "San Pedro de Atacama" 2015 0 1021.2 319.7 8.9 35.5 26.6 8.9
"288" "San Pedro de Atacama" 2016 0 770.8 228.7 16.9 50.8 16.9 0
"289" "Tocopilla" 2001 0 314.2 NA 0 NA 12.4 4.1
"290" "Tocopilla" 2002 0 309.4 NA 29.3 NA 75.3 8.4
"291" "Tocopilla" 2003 0 499.2 220 16.9 4.2 84.6 12.7
"292" "Tocopilla" 2004 0 603.5 269.6 17.1 8.6 81.3 8.6
"293" "Tocopilla" 2005 0 801 389.7 64.9 43.3 90.9 13
"294" "Tocopilla" 2006 0 513 293.8 43.8 4.4 61.4 43.8
"295" "Tocopilla" 2007 8.9 444.3 462.1 48.9 35.5 128.8 8.9
"296" "Tocopilla" 2008 0 634.7 639.2 112.5 67.5 126 22.5
"297" "Tocopilla" 2009 4.6 971.7 780.1 68.4 132.3 187 4.6
"298" "Tocopilla" 2010 4.6 864.6 920.1 111 152.6 157.2 13.9
"299" "Tocopilla" 2011 0 862.7 1055 93.8 107.8 154.7 18.8
"300" "Tocopilla" 2012 0 1193.8 960.7 156.9 76.1 156.9 4.8
"301" "Tocopilla" 2013 0 1230.7 622.6 140 144.8 159.3 14.5
"302" "Tocopilla" 2014 4.9 1351.2 494.4 166.4 254.6 328 9.8
"303" "Tocopilla" 2015 0 1486.4 745.7 238.6 193.9 238.6 9.9
"304" "Tocopilla" 2016 0 1055.8 843.6 202.1 116.2 237.4 50.5
"305" "María Elena" 2001 0 219.1 NA 0 NA 0 0
"306" "María Elena" 2002 0 364.7 NA 29.2 NA 0 0
"307" "María Elena" 2003 0 468 296.4 15.6 0 46.8 0
"308" "María Elena" 2004 0 670.2 234.6 50.3 0 67 16.8
"309" "María Elena" 2005 0 453.5 308.4 18.1 18.1 54.4 0
"310" "María Elena" 2006 0 655.9 289.4 0 0 38.6 0
"311" "María Elena" 2007 0 678.6 185.1 0 0 0 0
"312" "María Elena" 2008 0 705.9 375 44.1 22.1 44.1 0
"313" "María Elena" 2009 0 996.7 806.8 23.7 118.7 0 0
"314" "María Elena" 2010 0 1622.5 1107.4 51.5 77.3 103 51.5
"315" "María Elena" 2011 0 1479.5 876.7 27.4 109.6 82.2 27.4
"316" "María Elena" 2012 0 2346 967.7 88 176 176 58.7
"317" "María Elena" 2013 0 1918.8 503.3 0 283.1 0 0
"318" "María Elena" 2014 0 1154.1 339.4 33.9 135.8 33.9 33.9
"319" "María Elena" 2015 0 1330.4 110.9 37 147.8 0 0
"320" "María Elena" 2016 0 1025.6 78.9 78.9 157.8 78.9 39.4
"321" "Copiapó" 2001 0 394 NA 33.3 NA 96.3 7.4
